recipe_id,canonical_product_id,quantity,unit,notes
egg_fried_rice,PROD_jasmine_rice,0.3,kg,"cooked, day-old preferred"
egg_fried_rice,PROD_eggs,3,pcs,beaten
egg_fried_rice,PROD_spring_onion,3,pcs,sliced
egg_fried_rice,PROD_soy_sauce,2,tbsp,
egg_fried_rice,PROD_sesame_oil,1,tsp,
egg_fried_rice,PROD_vegetable_oil,2,tbsp,
stirfried_vegetables,PROD_broccoli,0.2,kg,florets
stirfried_vegetables,PROD_red_capsicum,1,pcs,sliced
stirfried_vegetables,PROD_carrot,1,pcs,julienned
stirfried_vegetables,PROD_mushrooms,0.15,kg,sliced
stirfried_vegetables,PROD_garlic,3,cloves,minced
stirfried_vegetables,PROD_soy_sauce,2,tbsp,
stirfried_vegetables,PROD_oyster_sauce,1,tbsp,
stirfried_vegetables,PROD_vegetable_oil,2,tbsp,
steamed_rice,PROD_jasmine_rice,0.4,kg,washed
tomato_egg_stirfry,PROD_tomato,3,pcs,wedged
tomato_egg_stirfry,PROD_eggs,4,pcs,beaten
tomato_egg_stirfry,PROD_spring_onion,2,pcs,sliced
tomato_egg_stirfry,PROD_white_sugar,1,tsp,
tomato_egg_stirfry,PROD_vegetable_oil,2,tbsp,
tomato_egg_stirfry,PROD_salt,0.5,tsp,
hot_and_sour_soup,PROD_firm_tofu,0.2,kg,julienned
hot_and_sour_soup,PROD_mushrooms,0.1,kg,sliced
hot_and_sour_soup,PROD_eggs,1,pcs,beaten
hot_and_sour_soup,PROD_soy_sauce,2,tbsp,
hot_and_sour_soup,PROD_chicken_stock,0.75,L,
hot_and_sour_soup,PROD_carrot,1,pcs,julienned
spring_rolls,PROD_carrot,1,pcs,julienned
spring_rolls,PROD_mushrooms,0.1,kg,diced
spring_rolls,PROD_spring_onion,3,pcs,sliced
spring_rolls,PROD_plain_flour,0.2,kg,for wrappers
spring_rolls,PROD_vegetable_oil,0.5,L,for frying
spring_rolls,PROD_soy_sauce,1,tbsp,
