id,name,cuisine,difficulty,tier,prep_time,cook_time,servings,techniques_taught,key_learnings,builds_on,macros_per_serving,instructions,video_url,video_timestamps,source,created_at
egg_fried_rice,Egg Fried Rice,chinese,1,beginner,8,12,4,wok_control|stir_frying,Wok heat management and rice texture,,"{""calories"": 400, ""protein"": 12, ""carbs"": 55, ""fat"": 14}",[],,,skill_tree,2026-03-05T13:12:51.811283
stirfried_vegetables,Stir-Fried Vegetables,chinese,1,beginner,6,9,4,stir_frying|knife_skills,Uniform cutting for even cooking,,"{""calories"": 150, ""protein"": 4, ""carbs"": 18, ""fat"": 7}",[],,,skill_tree,2026-03-05T13:12:51.811283
steamed_rice,Steamed Rice,chinese,1,beginner,10,15,4,steaming,Water-to-rice ratios and absorption method,,"{""calories"": 240, ""protein"": 5, ""carbs"": 53, ""fat"": 0.5}",[],,,skill_tree,2026-03-05T13:12:51.811283
tomato_egg_stirfry,Tomato Egg Stir-Fry,chinese,1,beginner,6,9,4,stir_frying|sauce_making,Quick sauce thickening and egg texture control,Egg Fried Rice,"{""calories"": 220, ""protein"": 12, ""carbs"": 10, ""fat"": 15}",[],,,skill_tree,2026-03-05T13:12:51.811283
hot_and_sour_soup,Hot and Sour Soup,chinese,2,beginner,12,18,4,sauce_making|knife_skills,Balancing sour and spicy flavors,,"{""calories"": 180, ""protein"": 10, ""carbs"": 15, ""fat"": 8}",[],,,skill_tree,2026-03-05T13:12:51.811283
spring_rolls,Spring Rolls,chinese,2,beginner,18,27,4,deep_frying|knife_skills,Wrapper rolling technique and oil temperature control,Stir-Fried Vegetables,"{""calories"": 320, ""protein"": 8, ""carbs"": 35, ""fat"": 16}",[],,,skill_tree,2026-03-05T13:12:51.811283
kung_pao_chicken,Kung Pao Chicken,chinese,3,intermediate,14,21,4,velveting|stir_frying,Protein velveting for silky texture and mala flavor balance,Stir-Fried Vegetables,"{""calories"": 380, ""protein"": 30, ""carbs"": 20, ""fat"": 20}",[],,,skill_tree,2026-03-05T13:12:51.811283
mapo_tofu,Mapo Tofu,chinese,3,intermediate,12,18,4,braising|sauce_making,Doubanjiang usage and tofu handling,Hot and Sour Soup,"{""calories"": 280, ""protein"": 18, ""carbs"": 12, ""fat"": 18}",[],,,skill_tree,2026-03-05T13:12:51.811283
sweet_and_sour_pork,Sweet and Sour Pork,chinese,3,intermediate,16,24,4,deep_frying|sauce_making,Batter coating and balanced sweet-sour sauce,Spring Rolls,"{""calories"": 420, ""protein"": 22, ""carbs"": 40, ""fat"": 18}",[],,,skill_tree,2026-03-05T13:12:51.811283
char_siu_bbq_pork,Char Siu (BBQ Pork),chinese,3,intermediate,36,54,4,roasting|sauce_making,Marinade penetration and caramelization,,"{""calories"": 350, ""protein"": 28, ""carbs"": 22, ""fat"": 16}",[],,,skill_tree,2026-03-05T13:12:51.811283
dan_dan_noodles,Dan Dan Noodles,chinese,3,intermediate,14,21,4,sauce_making|stir_frying,Chilli oil preparation and noodle sauce emulsion,Mapo Tofu,"{""calories"": 450, ""protein"": 18, ""carbs"": 50, ""fat"": 20}",[],,,skill_tree,2026-03-05T13:12:51.811283
steamed_dumplings_jiaozi,Steamed Dumplings (Jiaozi),chinese,4,intermediate,24,36,4,dough_making|steaming,Dumpling wrapper making and pleating technique,Spring Rolls,"{""calories"": 300, ""protein"": 15, ""carbs"": 35, ""fat"": 12}",[],,,skill_tree,2026-03-05T13:12:51.811283
peking_duck,Peking Duck,chinese,5,advanced,96,144,4,roasting|knife_skills,"Air-drying, glazing, and tableside carving",Char Siu (BBQ Pork),"{""calories"": 500, ""protein"": 25, ""carbs"": 30, ""fat"": 30}",[],,,skill_tree,2026-03-05T13:12:51.811283
xiao_long_bao_soup_dumplings,Xiao Long Bao (Soup Dumplings),chinese,5,advanced,48,72,4,dough_making|steaming,Aspic preparation and ultra-thin wrappers,Steamed Dumplings (Jiaozi),"{""calories"": 280, ""protein"": 14, ""carbs"": 30, ""fat"": 12}",[],,,skill_tree,2026-03-05T13:12:51.811283
handpulled_noodles_la_mian,Hand-Pulled Noodles (La Mian),chinese,5,advanced,36,54,4,dough_making,Gluten development and pulling technique,Dan Dan Noodles,"{""calories"": 380, ""protein"": 12, ""carbs"": 65, ""fat"": 6}",[],,,skill_tree,2026-03-05T13:12:51.811283
crispy_skin_pork_belly,Crispy Skin Pork Belly,chinese,4,advanced,72,108,4,roasting|braising,Skin preparation for maximum crackle,Char Siu (BBQ Pork),"{""calories"": 550, ""protein"": 30, ""carbs"": 5, ""fat"": 45}",[],,,skill_tree,2026-03-05T13:12:51.811283
general_tsos_chicken,General Tso's Chicken,chinese,4,advanced,18,27,4,deep_frying|wok_hei|sauce_making,Double-frying and wok hei in sauce finishing,Sweet and Sour Pork|Kung Pao Chicken,"{""calories"": 430, ""protein"": 28, ""carbs"": 35, ""fat"": 20}",[],,,skill_tree,2026-03-05T13:12:51.811283
cantonese_steamed_fish,Cantonese Steamed Fish,chinese,4,advanced,10,15,4,steaming|sauce_making,Precise steaming time and hot oil finishing,Steamed Rice,"{""calories"": 200, ""protein"": 30, ""carbs"": 5, ""fat"": 8}",[],,,skill_tree,2026-03-05T13:12:51.811283
japanese_white_rice_gohan,Japanese White Rice (Gohan),japanese,1,beginner,12,18,4,steaming,Rice washing and water ratios for sticky rice,,"{""calories"": 240, ""protein"": 5, ""carbs"": 53, ""fat"": 0.5}",[],,,skill_tree,2026-03-05T13:12:51.811283
miso_soup,Miso Soup,japanese,1,beginner,6,9,4,simmering|sauce_making,Dashi preparation and miso tempering,,"{""calories"": 60, ""protein"": 5, ""carbs"": 5, ""fat"": 2}",[],,,skill_tree,2026-03-05T13:12:51.811283
tamagoyaki_rolled_omelette,Tamagoyaki (Rolled Omelette),japanese,2,beginner,6,9,4,sauteing,Pan rolling technique and even heat control,,"{""calories"": 150, ""protein"": 10, ""carbs"": 3, ""fat"": 11}",[],,,skill_tree,2026-03-05T13:12:51.811283
onigiri_rice_balls,Onigiri (Rice Balls),japanese,1,beginner,8,12,4,knife_skills,Rice shaping and nori wrapping,Japanese White Rice (Gohan),"{""calories"": 200, ""protein"": 5, ""carbs"": 42, ""fat"": 1}",[],,,skill_tree,2026-03-05T13:12:51.811283
edamame_with_salt,Edamame with Salt,japanese,1,beginner,5,5,4,blanching,Blanching and seasoning timing,,"{""calories"": 120, ""protein"": 11, ""carbs"": 9, ""fat"": 5}",[],,,skill_tree,2026-03-05T13:12:51.811283
teriyaki_chicken,Teriyaki Chicken,japanese,2,beginner,10,15,4,grilling|sauce_making,Teriyaki glaze reduction and basting,,"{""calories"": 350, ""protein"": 32, ""carbs"": 18, ""fat"": 16}",[],,,skill_tree,2026-03-05T13:12:51.811283
tonkatsu_pork_cutlet,Tonkatsu (Pork Cutlet),japanese,3,intermediate,14,21,4,deep_frying|knife_skills,Panko coating technique and oil temperature,Teriyaki Chicken,"{""calories"": 450, ""protein"": 28, ""carbs"": 25, ""fat"": 26}",[],,,skill_tree,2026-03-05T13:12:51.811283
vegetable_tempura,Vegetable Tempura,japanese,3,intermediate,12,18,4,deep_frying,Cold batter technique and frying temperature control,,"{""calories"": 300, ""protein"": 6, ""carbs"": 30, ""fat"": 18}",[],,,skill_tree,2026-03-05T13:12:51.811283
shoyu_ramen,Shoyu Ramen,japanese,4,intermediate,48,72,4,simmering|sauce_making,Tare preparation and broth layering,Miso Soup,"{""calories"": 500, ""protein"": 25, ""carbs"": 55, ""fat"": 20}",[],,,skill_tree,2026-03-05T13:12:51.811283
gyoza_panfried_dumplings,Gyoza (Pan-Fried Dumplings),japanese,3,intermediate,20,30,4,dough_making|sauteing,Pleating technique and steam-frying method,Onigiri (Rice Balls),"{""calories"": 280, ""protein"": 14, ""carbs"": 28, ""fat"": 13}",[],,,skill_tree,2026-03-05T13:12:51.811283
